epoch,bw_idx,Bitrate(bps),Selected,CodebookUsage,CodeUtil(%),TimeLoss(e-3),FreqLoss(e-3),FeatLoss(e-3),AdvLoss(e-3),DisLoss(e-3),CommitLoss(e-6),PESQ,ESTOI,TotalScore
1,0,300,485,128/128,98.73947650759455,57.75340737909386,901.4406714242758,4.166189645484243,-9.416612108554883,998.9427757017392,87722.00137030538,0.0,0.0,0.0
1,1,600,1044,256/256,98.5800083058338,57.82866069397593,906.9168488869722,7.128010827323629,154.66579710672184,995.9078600694394,107164.43487563849,0.0,0.0,0.0
1,2,1200,1471,512/512,99.00105757583096,58.291907923044114,910.6849901616208,8.560926969214403,327.9651668502675,991.8294598017316,118739.19453415756,0.0,0.0,0.0
2,0,300,533,128/128,96.36908225868866,51.10377924583195,696.5757485402235,11.701068196159143,318.34986269313276,981.1369471433686,63700.90352512404,0.0,0.0,0.0
2,1,600,975,256/256,95.82225783426622,51.39510494776261,695.1115638781816,17.745445837768223,379.6282593294596,968.5004936731779,100133.88404353276,0.0,0.0,0.0
2,2,1200,1492,512/512,96.07345571394826,51.470940867713566,694.6286678953401,28.67182701995881,475.51845635809303,937.0587971910395,107858.07584425398,0.0,0.0,0.0
3,0,300,496,128/128,90.76147366332803,46.53547415810247,470.8746646440798,24.276477583278453,330.43276078458274,944.9901511111567,145.27579786215117,0.0,0.0,0.0
3,1,600,1064,256/256,91.06672125041042,46.208295197387166,453.57081128802514,38.1994799000064,387.83246722804114,873.9168801926132,176.4482539828234,0.0,0.0,0.0
3,2,1200,1440,512/512,91.17596972609886,46.47813464463171,450.970405795508,47.28013479616493,546.4047533615181,826.2603467951218,201.4979173610401,0.0,0.0,0.0
4,0,300,538,128/128,86.0943056494475,45.20927427758958,432.47664894313175,46.96380146207863,410.65464760124905,885.5261488031721,243.04477894515557,0.0,0.0,0.0
4,1,600,979,256/256,88.23523315238113,45.650117171583915,421.3973173264707,57.2630280782911,529.9332163960647,763.8790147175463,314.8054686337267,0.0,0.0,0.0
4,2,1200,1483,512/512,90.35517804823814,45.553672671900834,413.8446289867625,55.522026475305424,695.7957060431115,662.9904478446745,352.123743105849,0.0,0.0,0.0
5,0,300,496,128/128,86.90445057021522,43.63725165415916,403.9774729960388,67.61691308460168,448.989933934964,853.6233147305827,685.2852401343332,0.0,0.0,0.0
5,1,600,1022,256/256,88.40245927615054,44.24811235889646,383.11626743197206,60.2136596949833,562.477684146023,745.437788228466,862.3607507316804,0.0,0.0,0.0
5,2,1200,1482,512/512,90.4518761823556,44.444268421042466,374.935692500489,53.2969470473959,791.7359030218581,590.4702379917487,1001.0922394918188,0.0,0.0,0.0
6,0,300,489,128/128,88.3629953679578,41.8368812140024,379.0541329023053,76.75810244338156,451.16240427598876,856.9488986138185,664.971464366894,0.0,0.0,0.0
6,1,600,1004,256/256,88.97185679311616,42.8388081528098,340.7294013763804,55.91617894926632,585.8008878813886,728.5456010307449,861.9156773297201,0.0,0.0,0.0
6,2,1200,1507,512/512,90.81092643119308,43.05652229395938,332.15700814719224,48.637411376064634,803.0268371342505,594.4540791742519,1001.3403523544637,0.0,0.0,0.0
7,0,300,495,128/128,89.5504779807966,41.662598085222825,369.0891678887184,75.07647990126803,445.8323910079821,853.2846222020158,654.4056372020883,0.0,0.0,0.0
7,1,600,1002,256/256,90.00073107888606,42.179281081625085,322.01171974222103,53.076151267675584,595.6252313957006,725.0515283819682,855.1984735645592,0.0,0.0,0.0
7,2,1200,1503,512/512,91.50854910563929,42.266624247877104,310.3810476209827,45.07110264903295,804.6625781202031,603.2759930519604,985.886806927941,0.0,0.0,0.0
8,0,300,508,128/128,88.31041391510921,41.980494503078496,364.10558869050243,71.77330046804167,466.7821910496302,858.0976419561491,961.5363328127322,0.0,0.0,0.0
8,1,600,1009,256/256,90.0832658694773,42.2269874912335,318.8638604431606,50.36717960454073,610.8298642178711,719.673967337821,1273.4572165341065,0.0,0.0,0.0
8,2,1200,1483,512/512,91.80121616869614,42.11871951456739,305.21157834068475,44.24604837326126,833.48397222308,590.9827354986444,1433.3490906606678,0.0,0.0,0.0
9,0,300,531,128/128,90.17641767811294,42.61042777512033,333.95565173495737,63.155991588271945,488.9514158899052,867.8654075342383,2441.5733493959247,0.0,0.0,0.0
9,1,600,1039,256/256,91.63600947700132,42.023256865685894,299.50435096765506,43.729052585805114,616.4544077305064,743.9281169443433,3096.813878315188,0.0,0.0,0.0
9,2,1200,1430,512/512,92.93925715953547,42.10340544789821,290.8437325716852,39.43664354982076,789.2630312617842,630.6178994945712,3636.6824424578126,0.0,0.0,0.0
10,0,300,473,128/128,90.27987596568828,43.82139838145097,301.7851179170306,53.556153231771,505.8315249817568,879.1675291656188,4651.3653818092625,1.3376889332481052,0.29587183293330455,0.299
10,1,600,1033,256/256,91.70549048692266,42.624519079462026,277.1046196416179,35.77208817582163,623.5410161063955,775.215010386815,5875.657151641625,1.3708120325337285,0.3322077792410485,0.299
10,2,1200,1494,512/512,93.30681736308252,42.10357127618917,270.2550141108403,32.40154857760971,716.1754455611888,692.4366812150641,6671.292147065551,1.3814325021660847,0.349550304580284,0.299
11,0,300,547,128/128,90.95275250254845,44.536392284485714,270.94935093218055,45.01441859349036,499.69812562958197,895.4096812434781,12405.288243118053,1.4318046466163967,0.3675434273724004,0.344
11,1,600,977,256/256,92.15343801194194,42.96470725548548,249.4702053503224,28.98861456780619,619.556833283562,800.0515983072981,15989.404153593548,1.480148372442826,0.40186143145512077,0.344
11,2,1200,1476,512/512,93.52129778508369,42.2620236808005,242.8441521557689,26.879819279137827,692.0589914388935,727.5847024145488,18331.08454112337,1.5004770859428074,0.41459156162771804,0.344
12,0,300,517,128/128,92.63103383179997,44.78999697089887,226.6279866836057,38.867102071239366,485.51849700957246,907.672193340914,23318.52700878331,1.5315575496010159,0.4428425420483642,0.398
12,1,600,943,256/256,93.82295690918876,43.25729436295409,208.09073346417125,24.378222925934153,602.8571859207537,812.889250250156,30747.854128116516,1.5962319218594094,0.48643418885296574,0.398
12,2,1200,1540,512/512,94.94619383744366,42.39095930106841,199.68607613405624,22.717774725918257,657.5517981470405,752.0248754070951,36056.87519196759,1.6375940157019573,0.502935006232223,0.398
13,0,300,531,128/128,94.0140178306258,44.76701419821567,195.8865994506861,33.72295087522594,481.4572873930473,910.1308657175628,28663.427675960203,1.6505900206773176,0.5004767687376706,0.447
13,1,600,1034,256/256,95.45013593949903,43.11958658986327,172.25946457173885,20.674089519252977,585.2577431195882,830.5240191620138,38829.34273053069,1.7730811678844949,0.5552684606285336,0.447
13,2,1200,1435,512/512,96.34626151180129,42.30633180990867,165.4727754588742,19.752465605813658,614.7120994661743,766.0918192581017,45276.10987944055,1.833416285722152,0.5759119115230891,0.447
14,0,300,502,128/128,94.96167410748588,44.03116845663088,177.30479414363307,30.14475352824684,471.49823641634555,916.560451229255,31752.963795278414,1.733165398887966,0.5264827813414868,0.475
14,1,600,1005,256/256,96.3289433677766,42.24036355961615,152.4162955396804,18.13759225888632,573.8971036613284,842.120147403793,43160.01487756843,1.8906131516332212,0.588049710052614,0.475
14,2,1200,1493,512/512,97.13297157194161,41.16756451046076,143.73157746785452,17.254165928918127,583.5623661204623,787.8018696277795,50393.995608727724,1.976665216943492,0.6159617938302363,0.475
15,0,300,505,128/128,95.82680140320262,43.09135420930268,169.28335274800216,27.644205772050537,470.84764194960644,916.8530847766611,32374.959933285667,1.780673902967702,0.5356950084867637,0.492
15,1,600,953,256/256,96.95865617238188,40.0997045228076,141.19325191220358,16.739504008210908,568.7428957392762,843.8749133227129,44504.45792247841,1.9871141910552979,0.6058665139754755,0.492
