epoch,bw_idx,Bitrate(bps),Selected,CodebookUsage,CodeUtil(%),TimeLoss(e-3),FreqLoss(e-3),FeatLoss(e-3),AdvLoss(e-3),DisLoss(e-3),CommitLoss(e-6),PESQ,ESTOI,TotalScore
11,0,300,505,128/128,91.66336172421096,44.144168171552145,228.97824892903319,38.342921856311285,507.6251407956133,882.906703311618,34594.65179850559,1.4915194718734077,0.4209357217272721,0.393
11,1,600,1021,256/256,93.10138768114676,43.7964174155799,202.235651836456,36.5855798752838,593.6412820911781,814.1839106099262,45717.31089378081,1.5967715667641682,0.4839704781113973,0.393
11,2,1200,1474,512/512,94.81966482649285,43.47347186087268,193.13622269086954,26.631471243518906,675.0284262517091,715.5593537006482,52769.746901808634,1.6472225500189739,0.5074807222707952,0.393
12,0,300,523,128/128,93.52242552217253,44.11150263640211,208.17361287701425,34.632152776246315,492.03650436825325,892.898813260445,36659.60814810962,1.5375107993250308,0.451470449865652,0.419
12,1,600,968,256/256,94.67940857815022,43.43108158589395,179.83987739632937,30.59420673838578,583.0840910323087,828.6709516378473,48948.28977648261,1.6791467200154844,0.522733729931644,0.419
12,2,1200,1509,512/512,95.74332873372866,42.84843755793382,170.26322809491748,22.607220454058794,647.1611137339578,740.6112617258207,56671.07168651717,1.740345177443131,0.549813016742431,0.419
13,0,300,500,128/128,94.84122047953436,43.85274222493172,194.28628367185593,31.90737136080861,490.8247680366039,898.3515517711639,38058.031499385834,1.5914970636367798,0.4806772718301325,0.442
13,1,600,970,256/256,95.81684627619057,42.890736441483206,164.5768134864335,26.384511780108987,572.7866623243413,846.5422108615796,51432.402339792745,1.7493738868962163,0.5539097066969336,0.442
13,2,1200,1530,512/512,96.49885773998028,42.478516101350195,155.24663216148326,19.771753121289162,622.2272320607908,759.3448342061511,60165.614079610976,1.8255781038947727,0.5822807816266043,0.442
14,0,300,476,128/128,95.10955263531609,43.71371118649214,184.5485831634337,30.33370871347289,494.9456595760935,900.9301712533005,42270.681899072246,1.6318565503410671,0.4977298091180372,0.457
14,1,600,1023,256/256,96.24692284869138,42.53188131754,154.9462487416766,23.681618043841503,577.7923867128287,859.4078533460668,57570.94926600465,1.8134885145270305,0.572977247381948,0.457
14,2,1200,1501,512/512,96.93654183996749,41.59318704622178,144.79052762858953,17.925084824813435,605.3910453187713,773.633421936645,66886.13137310938,1.8983577904493913,0.6050462241140583,0.457
15,0,300,504,128/128,95.6869880585045,43.10111370351579,175.70522288599656,28.710699839783565,488.07131445833613,901.7028876003765,45312.27869706022,1.6941910049189692,0.511196909565155,0.474
